edades,edad_contra,temperatura,altura,capacidad,local_visit,gana,pierde,empate
27.1,26.5,20,53,46788,0.3,0,0,1
27.1,28.22,22,3,50000,0.7,0,0,1
27.6,28.23,23,3,50000,0.7,1,0,0
27.2,26.4,28,8,60000,0.3,0,0,1
28,24.6,30,3,50000,0.7,0,1,0
26.4,28.4,25,43,60235,0.3,0,0,1
26.1,26.9,18,3640,45000,0.4,1,0,0
25.7,27.9,21,3,50000,0.7,1,0,0
25.9,28.1,20,3,50000,0.7,0,1,0
26.6,29.6,16,570,48665,0.3,0,0,1
26,26.4,27,43,42354,0.3,1,0,0
26.7,26,23,3,50000,0.7,0,0,1
26.3,24.7,25,67,51796,0.3,0,1,0
26,28.7,29,3,50000,0.7,1,0,0
26.3,26.9,19,3,40093,0.7,1,0,0
26.8,27.9,21,2850,35742,0.3,1,0,0
26.28,28.4,25,25,49000,0.3,0,1,0
25.9,27.3,19,3,50000,0.3,0,1,0
